Year,Race Name,Driver ID,Constructor Name,Grid Position,Final Position,Fastest Lap Time,Points,Status,Number of Laps,Lap,Duration,Weather,Temperature (°C),Humidity (%),Wind Speed (m/s),Rain (mm),Pit Stops
2019,Ab,ru,Wi,18.0,17.0,103.074,0.0,+1 Lap,54.0,32.0,22.272,No rain,21.1,68,2.06,0.0,1
2022,Sp,ru,Me,4.0,3.0,84.636,15.0,Finished,66.0,13.0,22.154,No rain,9.61,85,3.09,0.0,1
2020,Au,la,Wi,20.0,11.0,69.662,0.0,Finished,71.0,51.0,21.918,No rain,-2.06,86,1.54,0.0,2
2024,Em,no,Mc,2.0,2.0,79.994,18.0,Finished,63.0,22.0,29.956,Rain,4.34,96,2.91,1.33,1
2021,Me,ha,Me,2.0,2.0,79.82,18.0,Finished,71.0,29.0,22.373,No rain,23.88,23,4.12,0.0,1
2024,Hu,zh,Sa,18.0,19.0,83.487,0.0,+1 Lap,69.0,7.0,21.993,No rain,1.26,70,3.09,0.0,2
2019,Br,kv,To,17.0,9.0,89.91,2.0,Finished,52.0,21.0,28.811,No rain,4.18,97,2.28,0.0,2
2024,Me,oc,Al,0.0,13.0,80.65899999999999,0.0,+1 Lap,70.0,48.0,23.245,No rain,23.88,23,4.12,0.0,1
2020,Po,ru,Wi,14.0,14.0,80.882,0.0,+1 Lap,65.0,36.0,32.991,No rain,10.33,88,1.9,0.0,1
2020,Tu,gi,Al,17.0,17.0,133.809,0.0,DNF,5.0,,,No rain,5.13,81,2.59,0.0,0
2021,Sp,st,As,11.0,11.0,82.607,0.0,+1 Lap,65.0,39.0,21.432,No rain,9.61,85,3.09,0.0,2
2020,Hu,oc,Re,14.0,14.0,80.261,0.0,+1 Lap,69.0,31.0,21.860,No rain,1.26,70,3.09,0.0,2
2019,Au,gi,Al,14.0,15.0,88.479,0.0,+1 Lap,57.0,27.0,27.172,No rain,17.76,67,0.89,0.0,1
2024,Be,no,Mc,4.0,5.0,105.563,10.0,Finished,44.0,29.0,22.610,Rain,-1.91,100,2.57,0.0,2
2022,Du,zh,Al,14.0,16.0,75.94,0.0,Finished,72.0,12.0,19.548,No rain,1.59,88,3.6,0.0,2
2024,Au,ts,RB,8.0,7.0,81.134,6.0,Finished,58.0,9.0,18.523,No rain,17.76,67,0.89,0.0,2
2022,Br,ve,As,18.0,9.0,92.471,2.0,Finished,52.0,6.0,29.846,No rain,4.18,97,2.28,0.0,2
2023,Me,no,Mc,17.0,5.0,81.944,10.0,Finished,71.0,33.0,22.563,No rain,23.88,23,4.12,0.0,3
2021,Sp,gi,Al,14.0,15.0,82.80199999999999,0.0,+1 Lap,65.0,8.0,54.673,No rain,9.61,85,3.09,0.0,2
2024,Sa,pe,,,,,,DNF,,7.0,22.196,No rain,26.03,53,2.06,0.0,1
2020,Ei,gi,Al,14.0,10.0,90.90899999999999,1.0,Finished,60.0,15.0,22.482,No rain,-2.31,93,3.09,0.0,2
2021,Sp,ga,Al,12.0,10.0,81.375,1.0,+1 Lap,65.0,47.0,26.065,No rain,9.61,85,3.09,0.0,2
2024,Hu,ha,Me,5.0,3.0,82.15299999999999,15.0,Finished,70.0,16.0,21.306,No rain,1.26,70,3.09,0.0,2
2024,Sã,ha,Me,14.0,10.0,82.041,1.0,Finished,69.0,27.0,25.205,No rain,21.25,86,4.63,0.0,2
2022,It,oc,Al,14.0,11.0,86.593,0.0,Finished,53.0,19.0,24.336,Rain,5.0,87,0.45,1.0,1
2023,It,zh,Al,16.0,14.0,85.983,0.0,Finished,51.0,11.0,24.396,Rain,5.0,87,0.45,1.0,2
2020,Ei,bo,Me,1.0,19.0,91.884,0.0,DNF,18.0,13.0,22.625,No rain,-2.31,93,3.09,0.0,1
2024,Me,ru,Me,5.0,5.0,80.731,10.0,Finished,71.0,31.0,22.462,No rain,23.88,23,4.12,0.0,1
2022,Au,ga,Al,14.0,15.0,70.104,0.0,+1 Lap,70.0,12.0,22.724,No rain,-2.06,86,1.54,0.0,2
2022,Ja,pe,,,,,,DNF,,2.0,6:32.517,No rain,7.84,72,6.85,0.0,2
2024,Mo,al,Wi,9.0,9.0,,2.0,+1 Lap,77.0,1.0,39:41.390,No rain,11.92,73,3.6,0.0,1
2024,Ja,ma,,,,,,DNF,,1.0,26:15.603,No rain,7.84,72,6.85,0.0,2
2020,Sa,ra,,,,,,DNF,,23.0,28.518,No rain,21.05,72,5.45,0.0,2
2022,Be,ri,Mc,7.0,15.0,113.08,0.0,Finished,44.0,12.0,23.085,Rain,-1.91,100,2.57,0.0,1
2022,Mo,al,Al,7.0,7.0,75.882,6.0,Finished,64.0,21.0,24.526,No rain,11.92,73,3.6,0.0,1
2022,Au,ha,Me,5.0,4.0,81.886,12.0,Finished,58.0,22.0,17.877,No rain,17.76,67,0.89,0.0,1
2019,Fr,ru,Wi,20.0,19.0,95.83,0.0,+2 Laps,51.0,25.0,31.950,No rain,8.64,77,3.73,0.1,2
2020,Ru,ru,Wi,13.0,18.0,97.352,0.0,+1 Lap,52.0,14.0,29.433,No rain,-0.89,51,7.0,0.0,3
2020,Sp,kv,Al,12.0,12.0,82.336,0.0,+1 Lap,65.0,45.0,22.079,No rain,9.61,85,3.09,0.0,2
2021,Sp,ga,Al,12.0,10.0,81.375,1.0,+1 Lap,65.0,18.0,28.042,No rain,9.61,85,3.09,0.0,2
2020,Tu,ru,Wi,0.0,16.0,100.814,0.0,+1 Lap,57.0,32.0,22.692,No rain,5.73,65,4.63,0.0,1
2021,Un,al,Al,19.0,18.0,100.06700000000001,0.0,DNF,49.0,28.0,23.844,Rain,17.84,85,3.09,0.0,2
2021,Ru,ts,Al,12.0,17.0,99.96000000000001,0.0,+1 Lap,52.0,13.0,30.112,No rain,-0.89,51,7.0,0.0,2
2020,St,le,Fe,14.0,19.0,95.37899999999999,0.0,DNF,4.0,1.0,39.715,No rain,-2.06,86,1.54,0.0,1
2023,It,pe,,,,,,DNF,,21.0,23.819,Rain,5.0,87,0.45,1.0,1
2020,St,la,Wi,18.0,17.0,68.806,0.0,+2 Laps,69.0,32.0,22.745,No rain,-2.06,86,1.54,0.0,1
2022,Fr,ru,Me,6.0,3.0,97.548,15.0,Finished,53.0,18.0,38.277,No rain,8.64,77,3.73,0.1,1
2021,It,oc,Al,12.0,10.0,85.566,1.0,Finished,53.0,26.0,30.333,Rain,5.0,87,0.45,1.0,1
2022,Mi,sa,Fe,2.0,3.0,91.78999999999999,15.0,Finished,57.0,27.0,22.063,No rain,22.99,64,8.23,0.0,1
2021,Tu,gi,Al,16.0,11.0,92.904,0.0,+1 Lap,57.0,40.0,23.150,No rain,5.73,65,4.63,0.0,1
