Unnamed: 0,Year,Race Name,Driver ID,Constructor Name,Grid Position,Final Position,Fastest Lap Time,Points,Status,Number of Laps,Lap,Duration,Weather,Temperature (°C),Humidity (%),Wind Speed (m/s),Rain (mm),Pit Stops
5003,2024,Au,ke,,,,,,DNF,,10.0,21.518,No rain,-2.06,86,1.54,0.0,2
6523,2019,Sp,gi,Al,18.0,16.0,81.833,0.0,Finished,66.0,41.0,23.507,No rain,9.61,85,3.09,0.0,2
9573,2024,La,al,Wi,17.0,19.0,98.008,0.0,DNF,25.0,9.0,22.012,No rain,14.64,31,1.54,0.0,1
4273,2020,Ba,ra,,,,,,DNF,,17.0,32.278,No rain,21.05,72,5.45,0.0,2
5739,2024,Mo,al,As,14.0,11.0,,0.0,+2 Laps,76.0,1.0,39:49.467,No rain,11.92,73,3.6,0.0,1
16706,2021,Sp,ts,Al,16.0,20.0,84.825,0.0,DNF,6.0,,,No rain,9.61,85,3.09,0.0,0
5470,2024,Au,ts,RB,8.0,7.0,81.134,6.0,Finished,58.0,36.0,17.535,No rain,17.76,67,0.89,0.0,2
5816,2022,Au,mi,,,,,,DNF,,43.0,22.880,No rain,-2.06,86,1.54,0.0,2
11906,2022,Mo,no,Mc,5.0,6.0,74.693,9.0,Finished,64.0,17.0,24.872,No rain,11.92,73,3.6,0.0,2
87,2019,Ge,bo,Me,3.0,15.0,78.27199999999999,0.0,DNF,56.0,26.0,20.498,No rain,0.22,86,0.0,0.0,2
7630,2019,Ja,al,Re,6.0,4.0,92.775,12.0,Finished,52.0,15.0,23.354,No rain,7.84,72,6.85,0.0,2
4163,2021,Br,ri,Mc,6.0,5.0,91.284,10.0,Finished,52.0,2.0,34:11.281,No rain,4.18,97,2.28,0.0,2
3382,2023,Br,pi,Mc,3.0,4.0,90.85,12.0,Finished,52.0,29.0,28.655,No rain,4.18,97,2.28,0.0,1
403,2023,Ba,le,Fe,3.0,19.0,97.17,0.0,DNF,39.0,13.0,24.345,No rain,21.05,72,5.45,0.0,1
4911,2022,Sã,ma,,,,,,DNF,,7.0,30.942,No rain,21.25,86,4.63,0.0,2
9365,2019,Ab,sa,Mc,8.0,10.0,101.294,1.0,+1 Lap,54.0,12.0,21.928,No rain,21.1,68,2.06,0.0,2
14264,2022,Du,ri,Mc,17.0,17.0,75.577,0.0,Finished,72.0,11.0,19.546,No rain,1.59,88,3.6,0.0,2
6378,2023,Be,hu,,,,,,DNF,,12.0,24.571,Rain,-1.91,100,2.57,0.0,2
2241,2019,Be,ke,,,,,,DNF,,25.0,22.584,Rain,-1.91,100,2.57,0.0,1
12117,2021,Fr,ra,,,,,,DNF,,33.0,31.327,No rain,8.64,77,3.73,0.1,1
14431,2023,Si,sa,Fe,1.0,1.0,97.666,25.0,Finished,62.0,20.0,29.499,No rain,26.92,87,1.03,0.0,1
13250,2021,St,ma,Ha,20.0,18.0,70.951,0.0,DNF,68.0,21.0,22.759,No rain,-2.06,86,1.54,0.0,1
6310,2019,Ab,ra,,,,,,DNF,,22.0,22.410,No rain,21.1,68,2.06,0.0,1
9219,2022,Hu,bo,Al,8.0,20.0,84.002,0.0,DNF,65.0,26.0,22.272,No rain,1.26,70,3.09,0.0,1
10397,2022,Fr,la,Wi,18.0,17.0,99.65,0.0,DNF,40.0,38.0,36.942,No rain,8.64,77,3.73,0.1,2
5517,2019,Ch,ha,Me,2.0,1.0,95.892,25.0,Finished,56.0,36.0,23.597,No rain,2.99,75,4.0,0.0,2
2436,2021,Me,ma,Ha,15.0,18.0,81.402,0.0,DNF,68.0,13.0,25.094,No rain,23.88,23,4.12,0.0,2
4689,2024,Du,ha,Me,14.0,8.0,73.878,4.0,Finished,72.0,23.0,21.168,No rain,1.59,88,3.6,0.0,2
13648,2023,Be,no,Mc,7.0,7.0,111.682,6.0,Finished,44.0,5.0,25.012,Rain,-1.91,100,2.57,0.0,2
9470,2024,Mi,le,Fe,2.0,3.0,91.084,15.0,Finished,57.0,19.0,21.825,No rain,22.99,64,8.23,0.0,1
16582,2024,Ca,sa,Fe,12.0,16.0,78.957,0.0,DNF,52.0,43.0,24.125,No rain,-4.97,57,6.69,0.0,2
